"Year","Sector","Type","Grouping","Species","Landings","Discards","DiscardMortality","TotalCatch","TotalMortality","Coefficients of Variation of Discard Ratios","CombinedSector","SuperCombined"
2002,"At-Sea Hake CP","groundfish","Other flatfish","Pacific Sanddab",0,0.0060408468352123,0.0060408468352123,0.0060408468352123,0.0060408468352123,"N/A","At-Sea Hake","Commercial Groundfish Trawl"
2002,"At-Sea Hake CP","groundfish","Other flatfish","Rex Sole",2.92553839902588,8.4634681505191,8.4634681505191,11.389006549545,11.389006549545,"N/A","At-Sea Hake","Commercial Groundfish Trawl"
2002,"At-Sea Hake CP","groundfish","Pacific hake","Pacific Hake",36313.5361558803,124.939712246268,124.939712246268,36438.4758681266,36438.4758681266,"N/A","At-Sea Hake","Commercial Groundfish Trawl"
2002,"At-Sea Hake CP","groundfish","Pacific ocean perch (North of 40°10' N. lat.)","Pacific Ocean Perch Rockfish",0.586737100238547,0.867036413922737,0.867036413922737,1.45377351416128,1.45377351416128,"N/A","At-Sea Hake","Commercial Groundfish Trawl"
2002,"At-Sea Hake CP","groundfish","Sablefish (North of 36° N. lat.)","Sablefish",18.6117784384684,2.13963608632926,2.13963608632926,20.7514145247976,20.7514145247976,"N/A","At-Sea Hake","Commercial Groundfish Trawl"
2002,"At-Sea Hake CP","groundfish","Shortspine thornyhead (North of 34°27' N. lat.)","Shortspine Thornyhead",11.3878241115721,0.578651210646109,0.578651210646109,11.9664753222182,11.9664753222182,"N/A","At-Sea Hake","Commercial Groundfish Trawl"
2002,"At-Sea Hake CP","groundfish","Spiny dogfish","Pacific Spiny Dogfish",0.710050987310186,35.2732934988573,35.2732934988573,35.9833444861674,35.9833444861674,"N/A","At-Sea Hake","Commercial Groundfish Trawl"
2002,"At-Sea Hake CP","groundfish","Widow rockfish","Widow Rockfish",49.2118058837753,66.1277211070466,66.1277211070466,115.339526990822,115.339526990822,"N/A","At-Sea Hake","Commercial Groundfish Trawl"
2002,"At-Sea Hake CP","groundfish","Yelloweye rockfish","Yelloweye Rockfish",0.000614638575662616,0.0151156863779268,0.0151156863779268,0.0157303249535894,0.0157303249535894,"N/A","At-Sea Hake","Commercial Groundfish Trawl"
2002,"At-Sea Hake CP","groundfish","Yellowtail rockfish (North of 40°10' N. lat.)","Yellowtail Rockfish",2.23312969987226,10.6901815865357,10.6901815865357,12.923311286408,12.923311286408,"N/A","At-Sea Hake","Commercial Groundfish Trawl"
2002,"At-Sea Hake MSCV","groundfish","Arrowtooth flounder","Arrowtooth Flounder",0.00133682633790888,0.00267365267581776,0.00267365267581776,0.00401047901372664,0.00401047901372664,"N/A","At-Sea Hake","Commercial Groundfish Trawl"
2002,"At-Sea Hake MSCV","groundfish","Canary rockfish","Canary Rockfish",0.423693538510323,0.391981605456921,0.391981605456921,0.815675143967244,0.815675143967244,"N/A","At-Sea Hake","Commercial Groundfish Trawl"
2002,"At-Sea Hake MSCV","groundfish","Darkblotched rockfish","Darkblotched Rockfish",0.443856498163295,0.495258978554768,0.495258978554768,0.939115476718063,0.939115476718063,"N/A","At-Sea Hake","Commercial Groundfish Trawl"
2002,"At-Sea Hake MSCV","groundfish","Dover sole","Dover Sole",0.00203036782148567,0.00198011119224097,0.00198011119224097,0.00401047901372664,0.00401047901372664,"N/A","At-Sea Hake","Commercial Groundfish Trawl"
2002,"At-Sea Hake MSCV","groundfish","English sole","English Sole",0.00573930705974414,0.00265355002411988,0.00265355002411988,0.00839285708386402,0.00839285708386402,"N/A","At-Sea Hake","Commercial Groundfish Trawl"
2002,"At-Sea Hake MSCV","groundfish","Lingcod (North of 40°10' N. lat.)","Lingcod",0.0363154402922164,0.0724600080450008,0.0724600080450008,0.108775448337217,0.108775448337217,"N/A","At-Sea Hake","Commercial Groundfish Trawl"
2002,"At-Sea Hake MSCV","groundfish","Minor shelf rockfish (North of 40°10' N. lat.)","Bocaccio Rockfish",0.0394816079346322,0.114223266947342,0.114223266947342,0.153704874881974,0.153704874881974,"N/A","At-Sea Hake","Commercial Groundfish Trawl"
2002,"At-Sea Hake MSCV","groundfish","Minor shelf rockfish (North of 40°10' N. lat.)","Chilipepper Rockfish",0.770484382950415,1.16345101834053,1.16345101834053,1.93393540129095,1.93393540129095,"N/A","At-Sea Hake","Commercial Groundfish Trawl"
2002,"At-Sea Hake MSCV","groundfish","Minor shelf rockfish (North of 40°10' N. lat.)","Redstripe Rockfish",0.00142728827054933,0.00380945249674786,0.00380945249674786,0.00523674076729719,0.00523674076729719,"N/A","At-Sea Hake","Commercial Groundfish Trawl"
2002,"At-Sea Hake MSCV","groundfish","Minor shelf rockfish (North of 40°10' N. lat.)","Stripetail Rockfish",0.0861700165029535,0.086260478435594,0.086260478435594,0.172430494938548,0.172430494938548,"N/A","At-Sea Hake","Commercial Groundfish Trawl"
2002,"At-Sea Hake MSCV","groundfish","Minor slope rockfish (North of 40°10' N. lat.)","Aurora Rockfish",0,0.00326668090090516,0.00326668090090516,0.00326668090090516,0.00326668090090516,"N/A","At-Sea Hake","Commercial Groundfish Trawl"
2002,"At-Sea Hake MSCV","groundfish","Minor slope rockfish (North of 40°10' N. lat.)","Bank Rockfish",0.0844009831535403,0.0266259621738393,0.0266259621738393,0.11102694532738,0.11102694532738,"N/A","At-Sea Hake","Commercial Groundfish Trawl"
2002,"At-Sea Hake MSCV","groundfish","Minor slope rockfish (North of 40°10' N. lat.)","Rougheye/Blackspotted Rockfish",0.172802393994958,0.216425148179353,0.216425148179353,0.389227542174312,0.389227542174312,"N/A","At-Sea Hake","Commercial Groundfish Trawl"
2002,"At-Sea Hake MSCV","groundfish","Minor slope rockfish (North of 40°10' N. lat.)","Sharpchin Rockfish",0.012674721895512,0.00382955514844574,0.00382955514844574,0.0165042770439577,0.0165042770439577,"N/A","At-Sea Hake","Commercial Groundfish Trawl"
2002,"At-Sea Hake MSCV","groundfish","Minor slope rockfish (North of 40°10' N. lat.)","Shortraker Rockfish",0.0214394780357868,0.0509702733799694,0.0509702733799694,0.0724097514157561,0.0724097514157561,"N/A","At-Sea Hake","Commercial Groundfish Trawl"
2002,"At-Sea Hake MSCV","groundfish","Minor slope rockfish (North of 40°10' N. lat.)","Splitnose Rockfish",0.151865482251618,0.179245293864128,0.179245293864128,0.331110776115747,0.331110776115747,"N/A","At-Sea Hake","Commercial Groundfish Trawl"
2002,"At-Sea Hake MSCV","groundfish","Other flatfish","Flathead Sole",0,9.04619326404505e-05,9.04619326404505e-05,9.04619326404505e-05,9.04619326404505e-05,"N/A","At-Sea Hake","Commercial Groundfish Trawl"
2002,"At-Sea Hake MSCV","groundfish","Other flatfish","Rex Sole",0.0235703591157618,0.160439263200763,0.160439263200763,0.184009622316525,0.184009622316525,"N/A","At-Sea Hake","Commercial Groundfish Trawl"
2002,"At-Sea Hake MSCV","groundfish","Pacific hake","Pacific Hake",26488.7848046153,208.411979929433,208.411979929433,26697.1967845447,26697.1967845447,"N/A","At-Sea Hake","Commercial Groundfish Trawl"
2002,"At-Sea Hake MSCV","groundfish","Pacific ocean perch (North of 40°10' N. lat.)","Pacific Ocean Perch Rockfish",1.72223437626059,0.460803033544606,0.460803033544606,2.1830374098052,2.1830374098052,"N/A","At-Sea Hake","Commercial Groundfish Trawl"
2002,"At-Sea Hake MSCV","groundfish","Sablefish (North of 36° N. lat.)","Sablefish",0.151312659329927,0.225059237083592,0.225059237083592,0.376371896413519,0.376371896413519,"N/A","At-Sea Hake","Commercial Groundfish Trawl"
2002,"At-Sea Hake MSCV","groundfish","Shortspine thornyhead (North of 34°27' N. lat.)","Shortspine Thornyhead",0.00169867406847068,0.00105538921413859,0.00105538921413859,0.00275406328260927,0.00275406328260927,"N/A","At-Sea Hake","Commercial Groundfish Trawl"
2002,"At-Sea Hake MSCV","groundfish","Spiny dogfish","Pacific Spiny Dogfish",0.479960860612683,0.696989088342973,0.696989088342973,1.17694994895566,1.17694994895566,"N/A","At-Sea Hake","Commercial Groundfish Trawl"
2002,"At-Sea Hake MSCV","groundfish","Widow rockfish","Widow Rockfish",8.07353812118121,12.4557722563324,12.4557722563324,20.5293103775136,20.5293103775136,"N/A","At-Sea Hake","Commercial Groundfish Trawl"
2002,"At-Sea Hake MSCV","groundfish","Yellowtail rockfish (North of 40°10' N. lat.)","Yellowtail Rockfish",0.404575916745641,1.01872197744166,1.01872197744166,1.4232978941873,1.4232978941873,"N/A","At-Sea Hake","Commercial Groundfish Trawl"
2002,"Directed P Halibut","groundfish","Arrowtooth flounder","Arrowtooth Flounder",0.29257008074027,0,0,0.29257008074027,0.29257008074027,"N/A","Directed P Halibut","Commercial Non-Groundfish"
2002,"Directed P Halibut","groundfish","Dover sole","Dover Sole",0.0399392179987299,0,0,0.0399392179987299,0.0399392179987299,"N/A","Directed P Halibut","Commercial Non-Groundfish"
2002,"Directed P Halibut","groundfish","Lingcod (North of 40°10' N. lat.)","Lingcod",1.18434183071759,0,0,1.18434183071759,1.18434183071759,"N/A","Directed P Halibut","Commercial Non-Groundfish"
2002,"Directed P Halibut","groundfish","Minor shelf rockfish (North of 40°10' N. lat.)","Silvergray Rockfish",0.287126916447428,0,0,0.287126916447428,0.287126916447428,"N/A","Directed P Halibut","Commercial Non-Groundfish"
